Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
21119,3/12/2023,676,301,37,12,0,6.03999996185303,1.95000004768372,0.860000014305115
21119,3/13/2023,1044,164,0,0,0,2.40000009536743,0,0
21119,3/14/2023,640,195,20,28,0,3.58999991416931,1.05999994277954,2.09999990463257
21119,3/15/2023,913,64,0,0,0.219999998807907,1.01999998092651,0,0
21119,3/16/2023,1217,223,0,0,0.769999980926514,3.17000007629395,0,0
21119,3/17/2023,753,180,28,12,0,3.3199999332428,1.69000005722046,0.860000014305115
21119,3/18/2023,494,219,0,0,0,3.29999995231628,0,0
21119,3/19/2023,887,213,50,24,0,3.32999992370605,2.80999994277954,1.63999998569489
21119,3/20/2023,612,215,0,0,0,2.71000003814697,0,0
21119,3/21/2023,632,387,34,15,0,5.21000003814697,1,0.769999980926514
21119,3/22/2023,40,232,0,0,0.009999999776483,4.15999984741211,0,0
21120,2/28/2023,487,376,15,0,0,6.17999982833862,0.419999986886978,0
21120,3/1/2023,557,436,0,0,0,6.84000015258789,0,0
21120,3/2/2023,407,492,0,0,0,8,0,0
21120,3/3/2023,481,481,33,8,0,7.82999992370605,1.02999997138977,0.52999997138977
21120,3/4/2023,694,180,0,0,0,2.25,0,0
21120,3/5/2023,767,236,0,0,0,3.16000008583069,0,0
21120,3/6/2023,417,417,0,0,0,6.67999982833862,0,0
21120,3/7/2023,1043,397,0,0,0,6.96000003814697,0,0
21120,3/8/2023,941,486,13,0,0,7.67000007629395,0.379999995231628,0
21120,3/9/2023,519,440,0,0,0,5.78000020980835,0,0
21120,3/10/2023,629,344,0,0,0,5.34999990463257,0,0
21120,3/11/2023,744,344,9,5,0,5.65000009536743,0.349999994039536,0.219999998807907
21120,3/12/2023,782,202,0,0,0,2.70000004768372,0,0
21120,3/13/2023,565,460,0,0,0,7,0,0
21120,3/14/2023,577,408,2,12,0,5.82000017166138,0.03999999910593,0.899999976158142
21120,3/15/2023,1008,432,0,0,0,6.44999980926514,0,0
21120,3/16/2023,518,451,0,0,0,7.55999994277954,0,0
21120,3/17/2023,625,464,0,0,0,6.19999980926514,0,0
21120,3/18/2023,702,297,18,0,0,5.80999994277954,0.699999988079071,0
21120,3/19/2023,616,236,0,0,0,3.20000004768372,0,0
21120,3/20/2023,645,466,0,0,0,7.51999998092651,0,0
21120,3/21/2023,492,469,19,13,0,7.34999990463257,0.75,0.680000007152557
