Id,ActivityDay,StepTotal
21319,3/16/2023,7157
21319,3/17/2023,3696
21319,3/18/2023,6982
21319,3/19/2023,5454
21319,3/20/2023,9715
21319,3/21/2023,10437
21319,3/22/2023,5533
21320,2/28/2023,0
21320,3/1/2023,11877
21320,3/2/2023,18543
21320,3/3/2023,18624
21320,3/4/2023,7480
21320,3/5/2023,16277
21320,3/6/2023,21394
21320,3/7/2023,14844
21320,3/8/2023,19018
21320,3/9/2023,16678
21320,3/10/2023,23298
21320,3/11/2023,9453
21320,3/12/2023,5388
21320,3/13/2023,9983
21320,3/14/2023,7726
21320,3/15/2023,9991
21320,3/16/2023,0
21320,3/17/2023,917
21320,3/18/2023,8361
21320,3/19/2023,9170
21320,3/20/2023,21586
21320,3/21/2023,23212
21320,3/22/2023,13431
21321,2/28/2023,8644
21321,3/1/2023,6030
21321,3/2/2023,5527
21321,3/3/2023,7582
21321,3/4/2023,7395
21321,3/5/2023,5887
21321,3/6/2023,9599
21321,3/7/2023,11113
21321,3/8/2023,11000
21321,3/9/2023,9956
21321,3/10/2023,13011
21321,3/11/2023,5990
21321,3/12/2023,9261
21321,3/13/2023,3283
21321,3/14/2023,3657
21321,3/15/2023,4468
21321,3/16/2023,4275
21321,3/17/2023,4559
21321,3/18/2023,2719
21321,3/19/2023,3220
21321,3/20/2023,559
21321,3/21/2023,13280
21321,3/22/2023,5542
21322,2/28/2023,1492
21322,3/1/2023,9391
21322,3/2/2023,9878
21322,3/3/2023,6792
21322,3/4/2023,4937
21322,3/5/2023,3558
21322,3/6/2023,9199
21322,3/7/2023,9043
21322,3/8/2023,6926
21322,3/9/2023,6320
21322,3/10/2023,8175
21322,3/11/2023,114
21322,3/12/2023,726
21323,2/28/2023,9598
21323,3/1/2023,8207
21323,3/2/2023,9830
21323,3/3/2023,11130
21323,3/4/2023,7390
21323,3/5/2023,3105
21323,3/6/2023,9644
21323,3/7/2023,10475
21323,3/8/2023,8142
21323,3/9/2023,11327
21323,3/10/2023,11347
21323,3/11/2023,2411
21323,3/12/2023,2995
21323,3/13/2023,3642
21323,3/14/2023,91
21323,3/15/2023,0
21323,3/16/2023,1459
21323,3/17/2023,1309
21323,3/18/2023,1932
21323,3/19/2023,2884
21323,3/20/2023,9098
21323,3/21/2023,8157
21323,3/22/2023,759
21324,2/28/2023,17046
21324,3/1/2023,15588
21324,3/2/2023,13931
21324,3/3/2023,20420
21324,3/4/2023,5820
21324,3/5/2023,7781
21324,3/6/2023,15559
21324,3/7/2023,17287
21324,3/8/2023,17418
21324,3/9/2023,16644
21324,3/10/2023,17793
21324,3/11/2023,9527
21324,3/12/2023,12737
21324,3/13/2023,8728
21324,3/14/2023,10706
21324,3/15/2023,10092
21324,3/16/2023,6485
21324,3/17/2023,8659
21324,3/18/2023,5377
21324,3/19/2023,5348
21324,3/20/2023,1404
21325,2/28/2023,14796
21325,3/1/2023,17582
21325,3/2/2023,14222
21325,3/3/2023,18125
21325,3/4/2023,9186
21325,3/5/2023,12847
21325,3/6/2023,15188
21325,3/7/2023,15388
21325,3/8/2023,16753
21325,3/9/2023,14508
21325,3/10/2023,19221
21325,3/11/2023,7738
21325,3/12/2023,5710
21325,3/13/2023,5252
21325,3/14/2023,8937
21325,3/15/2023,7740
21325,3/16/2023,11398
21325,3/17/2023,11110
21325,3/18/2023,14569
21325,3/19/2023,23889
21325,3/20/2023,21698
21325,3/21/2023,22006
21325,3/22/2023,0
21326,3/1/2023,18329
21326,3/2/2023,17066
21326,3/3/2023,21258
21326,3/4/2023,19799
21326,3/5/2023,7451
21326,3/6/2023,18437
21326,3/7/2023,17661
21326,3/8/2023,16154
21326,3/9/2023,18902
21326,3/10/2023,22124
21326,3/11/2023,14999
21326,3/12/2023,11841
21326,3/13/2023,8954
21326,3/14/2023,6279
21326,3/15/2023,10467
21326,3/16/2023,4745
21326,3/17/2023,12305
21326,3/18/2023,5163
21326,3/19/2023,14325
21326,3/20/2023,16527
21326,3/21/2023,18120
21326,3/22/2023,10181
21327,3/1/2023,0
21327,3/2/2023,0
21327,3/3/2023,5945
21327,3/4/2023,12309
21327,3/5/2023,4629
21327,3/6/2023,10977
21327,3/7/2023,11798
21327,3/8/2023,16655
21327,3/9/2023,15879
21327,3/10/2023,12555
21327,3/11/2023,9130
21327,3/12/2023,4454
21327,3/13/2023,5485
21327,3/14/2023,9857
21327,3/15/2023,8199
21327,3/16/2023,11228
21327,3/17/2023,13323
21327,3/18/2023,7197
21327,3/19/2023,8101
21327,3/20/2023,12012
21327,3/21/2023,411
21328,3/1/2023,8286
21328,3/2/2023,10169
21328,3/3/2023,14715
21328,3/4/2023,7046
21328,3/5/2023,0
21328,3/6/2023,13796
21328,3/7/2023,11430
21328,3/8/2023,15240
21328,3/9/2023,9694
21328,3/10/2023,11378
21328,3/11/2023,1572
21328,3/12/2023,4839
21328,3/13/2023,6477
21328,3/14/2023,3122
21328,3/15/2023,4319
21328,3/16/2023,2487
21328,3/17/2023,3745
21328,3/18/2023,6067
21328,3/19/2023,2706
21328,3/20/2023,12138
21328,3/21/2023,8669
21328,3/22/2023,6288
21411,3/1/2023,14171
21411,3/2/2023,9999
21411,3/3/2023,12951
21411,3/4/2023,15255
21411,3/5/2023,7111
21411,3/6/2023,3683
21411,3/7/2023,11165
21411,3/8/2023,9430
21411,3/9/2023,11771
21411,3/10/2023,12819
21411,3/11/2023,8030
21411,3/12/2023,6963
21411,3/13/2023,13824
21411,3/14/2023,170
21411,3/15/2023,7498
21411,3/16/2023,12176
21411,3/17/2023,13230
21411,3/18/2023,4701
21411,3/19/2023,6668
21411,3/20/2023,10169
21411,3/21/2023,10851
21411,3/22/2023,1747
21412,3/1/2023,11734
21412,3/2/2023,9560
21412,3/3/2023,7406
21412,3/4/2023,10470
21412,3/5/2023,6177
21412,3/6/2023,14610
21412,3/7/2023,10672
21412,3/8/2023,12633
21412,3/9/2023,13413
21412,3/10/2023,12864
21412,3/11/2023,5349
21412,3/12/2023,3882
21412,3/13/2023,2608
21412,3/14/2023,10305
21412,3/15/2023,10861
21412,3/16/2023,4435
21412,3/17/2023,6276
21412,3/18/2023,7946
21412,3/19/2023,5065
21412,3/20/2023,10718
21412,3/21/2023,11192
21412,3/22/2023,6298
21413,3/1/2023,10669
21413,3/2/2023,11619
21413,3/3/2023,10244
21413,3/4/2023,7423
21413,3/5/2023,1667
21413,3/6/2023,11505
21413,3/7/2023,10593
21413,3/8/2023,11033
21413,3/9/2023,10718
21413,3/10/2023,13029
21413,3/11/2023,2981
21413,3/12/2023,3665
21413,3/13/2023,10775
21413,3/14/2023,10251
21413,3/15/2023,10272
21413,3/16/2023,11005
21413,3/17/2023,10287
21413,3/18/2023,5118
21413,3/19/2023,4185
21413,3/20/2023,2401
21413,3/21/2023,9816
21413,3/22/2023,5844
21414,3/1/2023,12019
21414,3/2/2023,13278
21414,3/3/2023,13183
21414,3/4/2023,10024
21414,3/5/2023,13375
21414,3/6/2023,13181
21414,3/7/2023,13886
21414,3/8/2023,14540
21414,3/9/2023,17527
21414,3/10/2023,6485
21414,3/11/2023,10285
21414,3/12/2023,9631
21414,3/13/2023,11592
21414,3/14/2023,10051
21414,3/15/2023,8090
21414,3/16/2023,6691
21414,3/17/2023,5664
21414,3/18/2023,7866
21414,3/19/2023,9546
21414,3/20/2023,6508
21414,3/21/2023,11748
21414,3/22/2023,3391
22101,2/24/2023,3593
22101,2/25/2023,8127
22101,2/26/2023,6064
22101,2/27/2023,12458
22101,2/28/2023,9794
22101,3/1/2023,12320
22101,3/2/2023,13009
22101,3/3/2023,7180
22101,3/4/2023,16063
22101,3/5/2023,15017
22101,3/6/2023,10451
22101,3/7/2023,7577
22101,3/8/2023,7429
22101,3/9/2023,11886
22101,3/10/2023,13925
22101,3/11/2023,8609
22101,3/12/2023,5170
22101,3/13/2023,13570
22101,3/14/2023,13761
22101,3/15/2023,8829
22101,3/16/2023,6397
22101,3/17/2023,13265
22101,3/18/2023,11476
22101,3/19/2023,5364
22101,3/20/2023,12851
22101,3/21/2023,6831
22101,3/22/2023,5695
22102,2/24/2023,0
22102,2/25/2023,0
22102,2/26/2023,0
22102,2/27/2023,0
22102,2/28/2023,0
22102,3/1/2023,0
22102,3/2/2023,0
22102,3/3/2023,0
22102,3/4/2023,0
22102,3/5/2023,0
22102,3/6/2023,0
22102,3/7/2023,0
22102,3/8/2023,0
22102,3/9/2023,0
22102,3/10/2023,0
22102,3/11/2023,0
22102,3/12/2023,0
22102,3/13/2023,0
22102,3/14/2023,0
22102,3/15/2023,0
22102,3/16/2023,0
22102,3/17/2023,0
22102,3/18/2023,0
22102,3/19/2023,0
22102,3/20/2023,0
22102,3/21/2023,0
22102,3/22/2023,2185
22103,2/24/2023,687
22103,2/25/2023,5063
22103,2/26/2023,4755
22103,2/27/2023,6334
22103,2/28/2023,6634
22103,3/1/2023,6712
22103,3/2/2023,4734
22103,3/3/2023,3084
22103,3/4/2023,4135
22103,3/5/2023,6919
22103,3/6/2023,7852
22103,3/7/2023,5358
22103,3/8/2023,5848
22103,3/9/2023,4661
22103,3/10/2023,3944
22103,3/11/2023,3572
22103,3/12/2023,10015
22103,3/13/2023,2835
22103,3/14/2023,4866
22103,3/15/2023,1870
22103,3/16/2023,8308
22103,3/17/2023,5612
22103,3/18/2023,5995
22103,3/19/2023,5681
22103,3/20/2023,4491
22103,3/21/2023,341
22103,3/22/2023,2470
22110,2/24/2023,0
22110,2/25/2023,0
22110,2/26/2023,0
22110,2/27/2023,1107
22110,2/28/2023,7777
22110,3/1/2023,127
22110,3/2/2023,7134
22110,3/3/2023,9275
22110,3/4/2023,5473
22110,3/5/2023,4360
22110,3/6/2023,7286
22110,3/7/2023,6054
22110,3/8/2023,7408
22110,3/9/2023,7448
22110,3/10/2023,9711
22110,3/11/2023,4675
22110,3/12/2023,5512
22110,3/13/2023,3753
22110,3/14/2023,0
22110,3/15/2023,7788
22110,3/16/2023,2810
22110,3/17/2023,5376
22110,3/18/2023,19
22110,3/19/2023,0
22110,3/20/2023,8062
22110,3/21/2023,6781
22110,3/22/2023,5650
22111,2/24/2023,10899
22111,2/25/2023,4701
22111,2/26/2023,6735
22111,2/27/2023,9480
22111,2/28/2023,10088
22111,3/1/2023,8898
22111,3/2/2023,9919
22111,3/3/2023,7669
22111,3/4/2023,6768
22111,3/5/2023,7280
22111,3/6/2023,9781
22111,3/7/2023,11595
22111,3/8/2023,9831
22111,3/9/2023,7831
22111,3/10/2023,13478
22111,3/11/2023,4053
22111,3/12/2023,7403
22111,3/13/2023,6980
22111,3/14/2023,6094
22111,3/15/2023,8195
22111,3/16/2023,4467
22111,3/17/2023,7655
22111,3/18/2023,8574
22111,3/19/2023,9158
22111,3/20/2023,9392
22111,3/21/2023,9280
22111,3/22/2023,5121
22112,2/24/2023,0
22112,2/25/2023,0
22112,2/26/2023,0
22112,2/27/2023,1758
22112,2/28/2023,6308
22112,3/1/2023,8760
22112,3/2/2023,7722
22112,3/3/2023,5328
22112,3/4/2023,4267
22112,3/5/2023,108
22112,3/6/2023,2666
22112,3/7/2023,5007
22112,3/8/2023,7338
22112,3/9/2023,68
22112,3/10/2023,8073
22112,3/11/2023,1239
22112,3/12/2023,3315
22112,3/13/2023,5891
22112,3/14/2023,2462
22112,3/15/2023,5395
22112,3/16/2023,2039
22112,3/17/2023,4965
22112,3/18/2023,3321
22112,3/19/2023,128
22112,3/20/2023,7585
22112,3/21/2023,873
22112,3/22/2023,2793
22113,2/24/2023,10741
22113,2/25/2023,4799
22113,2/26/2023,6956
22113,2/27/2023,10582
22113,2/28/2023,9497
22113,3/1/2023,11078
22113,3/2/2023,11934
22113,3/3/2023,12474
22113,3/4/2023,4867
22113,3/5/2023,4643
22113,3/6/2023,13004
22113,3/7/2023,10358
22113,3/8/2023,2447
22113,3/9/2023,9294
22113,3/10/2023,6516
22113,3/11/2023,4128
22113,3/12/2023,3005
22113,3/13/2023,7892
22113,3/14/2023,5931
22113,3/15/2023,8586
22113,3/16/2023,6426
22113,3/17/2023,7380
22113,3/18/2023,6935
22113,3/19/2023,10376
22113,3/20/2023,11628
22113,3/21/2023,10999
22113,3/22/2023,7820
22114,2/25/2023,8009
22114,2/26/2023,6767
22114,2/27/2023,15448
22114,2/28/2023,10649
22114,3/1/2023,12617
22114,3/2/2023,9714
22114,3/3/2023,8473
22114,3/4/2023,11335
22114,3/5/2023,10570
22114,3/6/2023,10759
22114,3/7/2023,8489
22114,3/8/2023,12530
22114,3/9/2023,9532
22114,3/10/2023,13636
22114,3/11/2023,13131
22114,3/12/2023,6632
22114,3/13/2023,10740
22114,3/14/2023,8318
22114,3/15/2023,6079
22114,3/16/2023,8930
22114,3/17/2023,7444
22114,3/18/2023,11529
22114,3/19/2023,7710
22114,3/20/2023,10520
22114,3/21/2023,11922
22114,3/22/2023,7147
22115,2/25/2023,4736
22115,2/26/2023,7089
22115,2/27/2023,10217
22115,2/28/2023,12583
22115,3/1/2023,11628
22115,3/2/2023,10587
22115,3/3/2023,10237
22115,3/4/2023,5776
22115,3/5/2023,7197
22115,3/6/2023,11875
22115,3/7/2023,11066
22115,3/8/2023,10632
