Id,ActivityDay,Calories
22115,3/21/2023,2325
22115,3/22/2023,1099
22116,2/25/2023,2630
22116,2/26/2023,2847
22116,2/27/2023,2946
22116,2/28/2023,3137
22116,3/1/2023,2821
22116,3/2/2023,2764
22116,3/3/2023,2724
22116,3/4/2023,2530
22116,3/5/2023,2913
22116,3/6/2023,2605
22116,3/7/2023,2899
22116,3/8/2023,2594
22116,3/9/2023,2809
22116,3/10/2023,2704
22116,3/11/2023,2244
22116,3/12/2023,2678
22116,3/13/2023,2410
22116,3/14/2023,2353
22116,3/15/2023,2534
22116,3/16/2023,2450
22116,3/17/2023,2737
22116,3/18/2023,2694
22116,3/19/2023,2242
22116,3/20/2023,2870
22116,3/21/2023,2973
22116,3/22/2023,1482
22117,2/25/2023,2280
22117,2/26/2023,2020
22117,2/27/2023,2441
22117,2/28/2023,2930
22117,3/1/2023,2683
22117,3/2/2023,2554
22117,3/3/2023,2487
22117,3/4/2023,2693
22117,3/5/2023,2450
22117,3/6/2023,2645
22117,3/7/2023,2451
22117,3/8/2023,2708
22117,3/9/2023,2696
22117,3/10/2023,2732
22117,3/11/2023,2406
22117,3/12/2023,1948
22117,3/13/2023,3050
22117,3/14/2023,2170
22117,3/15/2023,1940
22117,3/16/2023,1719
22117,3/17/2023,1719
22117,3/18/2023,1719
22117,3/19/2023,1719
22117,3/20/2023,1719
22117,3/21/2023,1719
22117,3/22/2023,969
22118,2/25/2023,2345
22118,2/26/2023,2234
22118,2/27/2023,1894
22118,2/28/2023,2285
22118,3/1/2023,2613
22118,3/2/2023,2197
22118,3/3/2023,2331
22118,3/4/2023,3537
22118,3/5/2023,3415
22118,3/6/2023,2133
22118,3/7/2023,2251
22118,3/8/2023,2539
22118,3/9/2023,2239
22118,3/10/2023,2472
22118,3/11/2023,3596
22118,3/12/2023,3401
22118,3/13/2023,2295
22118,3/14/2023,2425
22118,3/15/2023,2598
22118,3/16/2023,1953
22118,3/17/2023,2819
22118,3/18/2023,2995
22118,3/19/2023,1637
22118,3/20/2023,0
22119,2/25/2023,2636
22119,2/26/2023,2449
22119,2/27/2023,2955
22119,2/28/2023,2927
22119,3/1/2023,3171
22119,3/2/2023,2890
22119,3/3/2023,2833
22119,3/4/2023,1964
22119,3/5/2023,2365
22119,3/6/2023,3036
22119,3/7/2023,2784
22119,3/8/2023,2481
22119,3/9/2023,2759
22119,3/10/2023,2922
22119,3/11/2023,2499
22119,3/12/2023,2263
22119,3/13/2023,2228
22119,3/14/2023,2416
22119,3/15/2023,2685
22119,3/16/2023,2075
22119,3/17/2023,2417
22119,3/18/2023,2522
22119,3/19/2023,2511
22119,3/20/2023,2666
22119,3/21/2023,2773
22119,3/22/2023,1698
22120,2/25/2023,2483
22120,2/26/2023,1897
22120,2/27/2023,2295
22120,2/28/2023,2272
22120,3/1/2023,1866
22120,3/2/2023,2365
22120,3/3/2023,1759
22120,3/4/2023,2351
22120,3/5/2023,2045
22120,3/6/2023,2196
22120,3/7/2023,2367
22120,3/8/2023,1843
22120,3/9/2023,2480
22120,3/10/2023,2019
22120,3/11/2023,1813
22120,3/12/2023,1332
22120,3/13/2023,2125
22120,3/14/2023,1792
22120,3/15/2023,1773
22120,3/16/2023,1758
22120,3/17/2023,1340
22120,3/18/2023,2102
22120,3/19/2023,1811
22120,3/20/2023,2166
22120,3/21/2023,2270
22120,3/22/2023,1185
22201,2/25/2023,564
22202,2/25/2023,2211
22202,2/26/2023,2234
22202,2/27/2023,2219
22202,2/28/2023,2675
22202,3/1/2023,2290
22202,3/2/2023,2285
