Id,SleepDay,DailyRMSSD,DeepRMSSD
22312,03/15/2023,41.474,40.74
22312,03/16/2023,46.267,0
22312,03/17/2023,40.323,28.645
22312,03/19/2023,47.396,67.083
22312,03/20/2023,44.445,18.243
22312,03/21/2023,39.374,21.975
22312,03/22/2023,41.672,26.629
22313,02/28/2023,66.597,72.072
22313,03/01/2023,63.916,71.244
22313,03/02/2023,66.794,85.803
22313,03/03/2023,47.349,58.937
22313,03/04/2023,69.365,71.94
22313,03/05/2023,59.545,58.944
22313,03/06/2023,73.087,78.845
22313,03/07/2023,60.073,67.198
22313,03/08/2023,72.656,77.706
22313,03/09/2023,65.058,69.048
22313,03/12/2023,63.335,65.228
22313,03/13/2023,70.199,81.35
22313,03/14/2023,65.094,70.714
22313,03/18/2023,49.885,50.964
22313,03/20/2023,22.311,33.034
22313,03/22/2023,13.7,15.968
22316,03/01/2023,29.343,30.274
22316,03/02/2023,33.153,24.149
22316,03/03/2023,27.359,26.509
22316,03/04/2023,30.131,34.8
22316,03/05/2023,30.077,34.626
22316,03/06/2023,28.501,36.239
22316,03/07/2023,31.753,24.389
22316,03/08/2023,30.158,27.262
22316,03/09/2023,33.117,26.709
22316,03/10/2023,34.952,0
22316,03/11/2023,31.471,24.654
22316,03/12/2023,31.046,27.704
22316,03/13/2023,31.615,29.024
22316,03/14/2023,28.671,33.28
22316,03/15/2023,34.354,35.588
22316,03/16/2023,32.498,30.322
22316,03/17/2023,30.251,23.491
22316,03/18/2023,27.107,23.13
22316,03/19/2023,37.106,29.089
22316,03/20/2023,28.128,20.31
22316,03/21/2023,30.577,30.355
22316,03/22/2023,25.379,25.134
22501,03/13/2023,19.428,26.427
22501,03/14/2023,12.472,10.254
22501,03/15/2023,21.597,18.407
22501,03/16/2023,22.526,17.717
22501,03/21/2023,19.9,15.487
22501,03/22/2023,23.34,0
22511,02/25/2023,55.879,43.459
22511,02/26/2023,17.952,19.352
22511,02/27/2023,45.701,42.357
22511,02/28/2023,25.157,21.483
22511,03/01/2023,45.7,44.355
22511,03/02/2023,46.809,50.046
22511,03/03/2023,50.144,73.197
22511,03/04/2023,41.428,43.009
22511,03/05/2023,40.592,33.173
22511,03/06/2023,38.811,36.943
22511,03/07/2023,52.113,47.54
22511,03/08/2023,62.594,61.018
22511,03/09/2023,54.81,56.399
22511,03/10/2023,58.045,51.4
22511,03/11/2023,49.008,48.236
22511,03/12/2023,37.431,36.704
22511,03/13/2023,40.1,31.295
22511,03/14/2023,32.339,21.844
22511,03/15/2023,31.2,33.621
22511,03/16/2023,25.265,19.941
22511,03/17/2023,25.228,22.888
22511,03/18/2023,34.519,24.29
22515,03/02/2023,38.342,25.437
22515,03/03/2023,41.37,37.651
22515,03/04/2023,26.74,18.738
22515,03/05/2023,73.861,63.3
22515,03/06/2023,60.796,36.165
22515,03/07/2023,57.566,29.784
22515,03/08/2023,44.218,0
22515,03/09/2023,51.077,44.588
22515,03/10/2023,52.682,44.585
22515,03/11/2023,47.227,33.889
22515,03/12/2023,37.049,36.802
22515,03/13/2023,53.336,34.508
22515,03/14/2023,55.014,19.968
22515,03/15/2023,58.227,51.853
22515,03/16/2023,45.54,53.5
22515,03/17/2023,60.676,46.262
22515,03/18/2023,55.421,36.662
22515,03/19/2023,39.876,32.741
22515,03/20/2023,52.671,38.262
22515,03/21/2023,62.118,47.023
22515,03/22/2023,59.561,27.287
22604,03/21/2023,22.687,14.222
22604,03/22/2023,13.855,12.26
22712,03/10/2023,24.136,24.641
22712,03/11/2023,26.14,26.075
22712,03/12/2023,31.152,57.328
22712,03/13/2023,26.255,27.046
22712,03/14/2023,22.723,23.554
22712,03/15/2023,14.893,0
22712,03/16/2023,20.405,14.25
22712,03/17/2023,21.916,19.735
22712,03/18/2023,25.133,28.238
22712,03/19/2023,26.53,27.32
22712,03/20/2023,20.985,21.647
22712,03/21/2023,25.966,25.194
22712,03/22/2023,19.152,43.911
22803,03/07/2023,26.975,29.075
22803,03/08/2023,34.46,25.454
22803,03/10/2023,30.917,26.737
22803,03/11/2023,30.711,29.237
22803,03/12/2023,25.357,39.397
22803,03/13/2023,18.424,17.71
22803,03/14/2023,42.002,37.379
22803,03/15/2023,24.923,22.272
22803,03/16/2023,25.637,21.928
22803,03/17/2023,19.241,20.397
22803,03/18/2023,17.336,25.97
22803,03/19/2023,7.899,10.976
22803,03/20/2023,22.824,20.467
22803,03/21/2023,27.14,20.131
22803,03/22/2023,27.268,18.791
22811,03/07/2023,41.549,34.938
22811,03/08/2023,35.34,29.514
22811,03/09/2023,39.104,26.387
22811,03/10/2023,29.68,31.421
22811,03/11/2023,28.918,27.415
22811,03/12/2023,24.059,25.015
22811,03/13/2023,37.406,38.223
22811,03/14/2023,38.711,38.831
22811,03/15/2023,24.942,24.645
22811,03/16/2023,40.599,41.947
22811,03/17/2023,27.308,32.849
22811,03/18/2023,31.532,30.797
22811,03/19/2023,31.587,39.417
22811,03/20/2023,28.667,35.375
22811,03/21/2023,35.371,38.059
22811,03/22/2023,28.78,25.682
22812,03/07/2023,31.008,26.999
22812,03/08/2023,35.313,17.687
22812,03/09/2023,40.559,33.071
22812,03/10/2023,64.214,67.738
22812,03/11/2023,34.977,31.18
22812,03/12/2023,30.897,18.636
22812,03/13/2023,39.449,22.075
22812,03/14/2023,51.847,43.269
22812,03/15/2023,50.295,38.707
22812,03/16/2023,44.75,23.349
22812,03/17/2023,46.905,56.309
22812,03/18/2023,34.846,41.834
22812,03/19/2023,33.038,37.009
22812,03/20/2023,55.161,44.067
22812,03/21/2023,17.635,28.099
22812,03/22/2023,23.364,16.612
22813,03/07/2023,45.393,41.342
22813,03/08/2023,38.514,28.461
22813,03/10/2023,32.577,21.662
22813,03/11/2023,38.332,26.665
22813,03/12/2023,29.643,20.296
22813,03/13/2023,44.504,19.296
22813,03/15/2023,46.262,45.31
22813,03/16/2023,38.642,31.563
22813,03/17/2023,52.341,46.008
22813,03/18/2023,23.067,22.069
22813,03/19/2023,46.582,34.262
22813,03/20/2023,38.275,25.546
22813,03/21/2023,28.028,15.069
22813,03/22/2023,20.289,13.288
