Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
10407,10/23/22,1,617,622
10407,10/24/22,1,507,522
10407,10/25/22,1,546,567
10407,10/26/22,1,455,467
10407,10/27/22,1,525,561
10407,10/28/22,1,520,560
10407,10/29/22,2,730,761
10407,10/30/22,2,768,824
10407,10/31/22,1,533,549
10407,11/1/22,1,513,548
10407,11/2/22,1,511,542
10407,11/3/22,1,493,519
10407,11/4/22,1,513,530
10407,11/5/22,1,706,731
10407,11/6/22,1,688,727
10407,11/7/22,1,533,561
10407,11/8/22,1,606,639
10407,11/9/22,1,509,527
10407,11/10/22,1,549,582
10407,11/11/22,1,455,473
10407,11/12/22,1,527,563
10407,11/13/22,1,731,769
10407,11/14/22,1,469,485
10407,11/15/22,1,468,482
10407,11/16/22,1,517,565
10407,11/17/22,1,593,637
10407,11/18/22,1,495,510
10407,11/19/22,1,543,588
10407,11/20/22,1,612,645
10407,11/21/22,1,522,546
10407,11/22/22,1,485,527
10407,11/23/22,2,682,742
10407,11/24/22,1,464,495
10407,11/25/22,1,548,579
10407,11/26/22,3,624,678
10407,11/27/22,1,570,597
10407,11/28/22,1,510,518
10407,11/29/22,1,446,488
10407,11/30/22,1,550,614
10407,12/1/22,1,448,474
10407,12/2/22,1,585,625
10407,12/3/22,1,622,652
10407,12/4/22,1,580,632
10407,12/5/22,1,539,617
10407,12/6/22,1,537,560
10407,12/7/22,1,493,523
10407,12/8/22,1,530,583
10407,12/9/22,1,488,535
10407,12/10/22,1,530,578
10407,12/11/22,1,558,581
10407,12/12/22,1,567,595
10407,12/13/22,1,463,501
10407,12/14/22,1,435,492
10407,12/15/22,1,477,517
10407,12/16/22,2,636,753
10407,12/17/22,1,463,553
10407,12/19/22,1,654,691
10407,12/20/22,1,460,487
10407,12/21/22,2,751,818
10407,12/22/22,2,174,191
10407,12/24/22,2,717,759
10407,12/26/22,1,760,798
10407,12/27/22,1,632,681
10407,12/28/22,1,553,576
10407,12/29/22,1,493,501
10407,12/30/22,1,590,617
10407,12/31/22,1,546,558
10408,10/12/22,1,364,379
10408,10/13/22,1,405,450
10408,10/14/22,1,363,415
10408,10/15/22,1,589,629
10408,10/16/22,1,518,518
10408,10/18/22,1,513,565
10408,10/19/22,1,266,285
10408,10/20/22,1,428,465
10408,10/21/22,2,342,371
10408,10/22/22,1,387,389
10408,10/23/22,1,210,625
10408,10/25/22,2,140,244
10408,10/26/22,2,263,398
10408,10/29/22,1,291,586
10408,10/31/22,1,164,398
10408,11/1/22,1,215,402
10408,11/2/22,1,128,222
10408,11/3/22,1,345,440
10408,11/4/22,2,223,442
10408,11/5/22,2,344,360
10408,11/11/22,1,257,511
10408,11/13/22,1,39,129
10408,11/16/22,1,249,433
10408,11/17/22,1,386,599
10408,11/18/22,1,27,89
10408,11/20/22,1,103,172
10408,11/22/22,1,53,83
10408,11/27/22,1,41,94
10408,11/29/22,1,83,103
10408,11/30/22,1,74,89
10408,12/2/22,1,311,416
10408,12/12/22,1,161,218
10409,10/12/22,1,342,391
10409,10/19/22,1,363,396
10409,10/20/22,1,470,567
10409,10/21/22,1,311,348
10409,10/22/22,1,494,560
10409,10/24/22,1,353,394
10409,10/25/22,1,429,484
10409,10/26/22,1,389,428
10409,10/27/22,1,370,396
10409,10/28/22,1,366,410
10409,10/29/22,1,624,731
10409,10/30/22,2,436,510
10409,11/1/22,1,409,453
10409,11/2/22,1,397,441
10409,11/3/22,1,404,431
10409,11/4/22,2,483,516
10409,11/5/22,1,442,492
10409,11/7/22,1,359,391
10409,11/8/22,1,513,583
10409,11/9/22,1,379,401
10409,11/10/22,1,389,453
10409,11/11/22,1,408,466
10409,11/14/22,1,365,415
10409,11/15/22,1,435,498
10409,11/16/22,1,398,457
10409,11/17/22,1,379,405
10409,11/18/22,1,435,471
10409,11/19/22,1,466,505
10409,11/21/22,1,410,453
10409,11/30/22,1,325,349
10409,12/1/22,1,575,638
10409,12/2/22,1,482,524
10409,12/3/22,1,399,447
10409,12/4/22,1,463,506
10409,12/5/22,1,511,581
10409,12/8/22,1,292,323
10409,12/9/22,1,469,524
10409,12/11/22,2,559,596
10409,12/12/22,1,480,559
10409,12/13/22,1,402,458
10410,10/13/22,1,459,508
10410,10/14/22,1,244,289
10410,10/15/22,1,453,508
10410,10/16/22,2,642,700
10410,10/17/22,1,407,428
10410,10/18/22,1,417,442
10410,10/19/22,1,457,511
10410,10/20/22,1,520,591
10410,10/21/22,1,428,458
10410,10/22/22,1,565,612
10410,10/23/22,1,377,398
10410,10/24/22,1,426,471
10410,10/25/22,2,376,445
10410,10/26/22,1,446,491
10410,10/27/22,2,512,548
10410,10/28/22,1,420,454
10410,10/29/22,1,539,577
10410,10/31/22,1,399,473
10410,11/1/22,1,565,635
10410,11/2/22,1,433,455
10410,11/3/22,1,457,482
10410,11/4/22,1,414,428
10410,11/5/22,1,730,752
10410,11/6/22,1,603,648
10410,11/7/22,1,345,365
10410,11/8/22,1,472,525
10410,11/9/22,1,439,505
10410,11/10/22,1,340,378
10410,11/11/22,1,433,476
10410,11/12/22,1,392,436
10410,11/13/22,2,590,665
10410,11/14/22,1,405,438
10410,11/15/22,1,458,511
10410,11/16/22,1,277,337
10410,11/17/22,3,352,398
10410,11/18/22,1,399,429
10410,11/19/22,1,552,605
10410,11/20/22,1,481,522
10410,11/21/22,1,378,422
10410,11/22/22,1,295,310
10410,11/23/22,1,338,379
10410,11/24/22,1,603,695
10410,11/25/22,1,673,732
10410,11/26/22,1,412,471
10410,11/27/22,1,412,468
10410,11/28/22,1,412,465
10410,11/29/22,1,356,407
10410,12/1/22,1,697,744
10410,12/8/22,1,517,564
10410,12/9/22,1,329,367
10410,12/17/22,2,483,522
10410,12/18/22,1,731,788
10410,12/19/22,1,417,479
10410,12/20/22,1,442,489
